Query	Document	Answer
Quelle durée maximum pour partie en cadence rapide ?	"## 3.4. Arbitre  
Lors de la phase académique, l'arbitre principal doit être au minimum AFO1.  
Dès la fin de la compétition, l'arbitre doit communiquer au DCS le nom des établissements qualifiés pour les finales nationales."	
Mon adversaire a son téléphone dans sa poche mais il est éteint, c'est grave ?	"C'est différent si la partie n'a pas encore commencé. Imaginons la situation suivante : Le forfait n'est pas à zéro minute. Le joueur/la joueuse A est dans la salle de jeu au démarrage de la ronde. Son adversaire, le joueur/la joueuse B, est en retard . Immédiatement après avoir joué son premier coup, le téléphone de A sonne. L'arbitre déclare la partie perdue pour A. Quelques minutes plus tard, mais dans les temps pour ne pas être forfait, B arrive. Le résultat est 0F -1F, car ceci n'est pas une parti e « jouée » et ne peut être comptabilisée pour le classement Elo.  
Cependant, il y a une possibilité ici pour l' arbitre en lien avec l'équipe organisatrice de définir à l'avance (dans le règlement de la manifestation) une sanction moins sévère pour la violation de cet article (par exemple : une amende) On peut également inclure dans le règlement de la manifestation la possibilité d'apporter un tel appareil au tournoi, pourvu que certaines conditions soient remplies : que l'appareil soit complètement éteint et rangé dans un sac à part, afin qu'il ne soit pas en contact avec le joueur/la joueuse et qu 'il /elle n'ait pas accès à son sac pendant la partie, sans l'autorisation de l'arbitre (et qu'il /elle ne puisse prendre le sac pour aller aux toilettes etc).  
Un joueur ou une joueuse qui arrive après le début d'une ronde doit avoir la possibilité de ranger son appareil avant de jouer son premier coup, soit en le confiant à l' équipe organisatrice , soit en le plaçant dans un sac si c'est autorisé.  
- 11.3.4. Fumer (y compris les cigarettes électroniques) est autorisé uniquement dans la section du lieu de la compétition désignée par l'arbitre."	"C'est différent si la partie n'a pas encore commencé. Imaginons la situation suivante : Le forfait n'est pas à zéro minute. Le joueur/la joueuse A est dans la salle de jeu au démarrage de la ronde. Son adversaire, le joueur/la joueuse B, est en retard . Immédiatement après avoir joué son premier coup, le téléphone de A sonne. L'arbitre déclare la partie perdue pour A. Quelques minutes plus tard, mais dans les temps pour ne pas être forfait, B arrive. Le résultat est 0F -1F, car ceci n'est pas une parti e « jouée » et ne peut être comptabilisée pour le classement Elo.  
Cependant, il y a une possibilité ici pour l' arbitre en lien avec l'équipe organisatrice de définir à l'avance (dans le règlement de la manifestation) une sanction moins sévère pour la violation de cet article (par exemple : une amende) On peut également inclure dans le règlement de la manifestation la possibilité d'apporter un tel appareil au tournoi, pourvu que certaines conditions soient remplies : que l'appareil soit complètement éteint et rangé dans un sac à part, afin qu'il ne soit pas en contact avec le joueur/la joueuse et qu 'il /elle n'ait pas accès à son sac pendant la partie, sans l'autorisation de l'arbitre (et qu'il /elle ne puisse prendre le sac pour aller aux toilettes etc).  
Un joueur ou une joueuse qui arrive après le début d'une ronde doit avoir la possibilité de ranger son appareil avant de jouer son premier coup, soit en le confiant à l' équipe organisatrice , soit en le plaçant dans un sac si c'est autorisé.  
- 11.3.4. Fumer (y compris les cigarettes électroniques) est autorisé uniquement dans la section du lieu de la compétition désignée par l'arbitre."
Les débats disciplinaires de la FFE sont-ils publics ?	"De même dans le cas des articles 9.6.1 et 9.6.2, si un joueur ou une joueuse n'achève pas le nombre de coups prescrit dans le temps imparti, la partie est nulle si son adversaire n'est pas en mesure de mater .  
Cela signifie que la seule chute du drapeau ne permet pas à l'Arbitre de conclure à la perte de la partie pour le joueur ou la joueuse dont le drapeau est tombé. L'Arbitre doit vérifier la position finale sur l'échiquier et, uniquement si l'adversaire peut mater par une s uit e de coups légaux (c'est -àdire s'il existe une suite de coups menant à l' échec et mat en sa faveur avec les pièces présentes sur l'échiquier), alors il/elle peut déclarer la partie gagnée par l'adversaire. Si la position est telle que les coups suivants amèneront de manière forcée à un pat ou à un mat en faveur du joueur/de la joueuse dont le drapeau est tombé alors la partie est déclarée nulle."	
Quelles sont les conditions du Ch. France scolaire ?	"## 1.2. Structure  
- 1.2.1. Le championnat de France scolaire est organisé chaque saison, il se sépare en deux catégories :
- a) Le championnat des écoles réservé aux écoliers scolarisés en France, c'est-à-dire les élèves de la maternelle petite section jusqu'au CM2, ULIS inclus, ou dans un établissement relevant de l'AEFE (Agence pour l'Enseignement Français à l'Étranger).
- b) Le championnat des collèges réservé aux collégiennes et collégiens scolarisés en France, c'est-à-dire les élèves de la classe de 6 e jusqu'à la classe de 3 e, ULIS et SEGPA inclus, ou dans un établissement relevant de l'AEFE (Agence pour l'Enseignement Français à l'Étranger).
- 1.2.2. Les lycéennes et lycéens peuvent participer aux championnats UNSS des lycées sous certaines conditions. Les étudiants (classes post-bac) peuvent participer au championnat universitaire de la FFSU."	"## 1.1. Responsabilités  
- 1.1.1. Dans chaque département, le Comité Départemental du Jeu d'Echecs (CDJE), nomme un Correspondant ou une Correspondante Scolaire Départemental (CSD). Informer, organiser, médiatiser sont les objectifs de son action. Le CDJE est le support de l'action. Il encourage et soutient les événements.
- 1.1.2. La personne nommée CSD organise son action départementale sous la responsabilité du CDJE. Elle fixe les dates des rencontres, les lieux d'actions, s'assure de la disponibilité du matériel, désigne les arbitres et veille au bon déroulement des tournois. Elle rappelle les objectifs du secteur scolaire à tous les participants.
- 1.1.3. Les objectifs se traduisent par la recherche de la participation du plus grand nombre d'élèves et du plus grand nombre d'établissements du département. En particulier, la ou le CSD organise une campagne d'information à partir de la rentrée et elle ou lui a le souci de la relation importante avec les acteurs de l'Éducation nationale (DASEN, IEN, chefs d'établissements, directeurs d'école, USEP, UNSS, UGSEL).
- 1.1.4. De même, dans chaque Ligue, une personne est nommée Correspondant ou Correspondante Scolaire Académique (CSA) par la Ligue. Elle coordonne les actions de la Ligue en direction des scolaires en étroit contact avec les Correspondants Scolaires Départementaux. Elle rend compte de son action auprès du Comité directeur de la Ligue et informe la direction du championnat.
- 1.1.5. Le comité directeur fédéral nomme un Directeur ou une Directrice des Championnats Scolaires (DCS)."
Comment fonctionne le règlement financier FFE ?	"## Remarques :  
- Quel que soit le système utilisé, le montant total des prix est le même.
- Le système Hort n'est généralement utilisé que pour les prix au classement général. Pour les prix spéciaux (catégories Elo, jeunes, etc) les ex-aequo sont généralement en trop grand nombre.
- Les systèmes partageant les prix ont le défaut de devoir attendre de connaître le classement final pour connaître les montants et que l'équipe organisatrice prépare les prix (chèque/enveloppe). Quand on les utilise il faut être sûr d'avoir un temps suffisant entre l'édition du classement et la remise des prix.
- Quand le nombre d' ex-aequo est trop important, il arrive que les derniers prix attribués soient faibles. Pour éviter cela on pourra prévoir sur la liste des prix que le système Hort sera utilisé de manière à ne pas distribuer de prix inférieur à un certain montant (une pratique courante est de ne pas distribuer de prix inférieur au montant des droits d'inscription).  
Dans le cadre de la dernière remarque, on reprend la liste des joueurs ex-aequo ayant amené un prix de montant trop faible. On retire le dernier d'entre eux et on recalcule les prix au système Hort avec les joueurs restants. Si les montants sont encore trop faibles on enlève encore un joueur supplémentaire.  
Pour l'exemple précédent, supposons que l'on ne veut pas attribuer de prix inférieur à 40 €.  
Hortense est donc retirée du calcul des prix, le système Hort n'est calculé que pour Emma, Farid et Germain.  
| | Prix annoncé | Joueur | Prix à la place | Prix au partage intégral | Prix au système Hort |
|-------|----------------|----------|-------------------------------|-------------------------------|-------------------------------|"	
C'est quoi la cadence pour les poussins au championnat de France ?	"## 3.2.1. Qualifications départementales :  
- Minimum 15 min + 5 sec. /coup pour les catégories U8, U8F, U10, U10F.
- Minimum 25 min + 10 sec. /coup pour les grandes catégories."	"## 3.1. Règles  
Un tournoi est organisé pour chaque catégorie jeunes : U8, U10, U12, U14, U16, U18, U20 et U8F, U10F, U12F, U14F, U16F, U18F, U20F.  
Lors des phases qualificatives, les joueurs et joueuses d'une même catégorie d'âge peuvent être regroupés dans un tournoi mixte.  
Les titres de Champion, Championne, vice-Champion, vice-Championne de France sont attribués au 1 r et 2 e de chaque tournoi.  
Il est obligatoire de pointer sur place pour être apparié à la 1 ère ronde.  
Lors du Championnat de France, les rondes 2 et 3 sont jouées le deuxième jour."
Qu'est-ce qu'une rangée aux échecs ?	"Autrement, une horloge doit être accrochée au mur à l'intérieur du lieu de la compétition et indiquer l'heure officielle du tournoi.  
Si le délai de forfait n'est pas 0(zéro), il est conseillé que l'arbitre annonce publiquement l'heure du début de la ronde et qu'il/elle note l'heure de départ. Si le délai de forfait est par exemple de 30 minutes et que la ronde devait commencer à 15h00, mais a effectivement commencé à 15h15, les joueurs et joueuses ne perdent par forfait qu'à 15h45.  
- 6.8. On considère qu'un drapeau est tombé quand l'arbitre constate le fait ou que l'un ou l'autre des deux adversaires a fait une réclamation valide à ce sujet.  
Un drapeau est considéré comme tombé quand le fait est noté ou demandé, pas quand il est effectivement tombé. Si un résultat est atteint avant que l'on remarque la chute du drapeau alors ce résultat est conservé. L'arbitre doit annoncer la chute du drapeau dès qu'il/elle le remarque.  
6.9. En dehors de l'application de l'un des articles 5.1.1, 5.1.2, 5.2.1, 5.2.2 ou 5.2.3, si un joueur ou une joueuse n'a pas achevé le nombre de coups prescrits dans le temps imparti, la partie est perdue par ce joueur ou cette joueuse. Toutefois, la partie est déclarée nulle, si la position est telle que son adversaire ne peut mater son roi par aucune suite de coups légaux."	
Comment adhérer à la FFE ?	"## 4.1 Définition  
La licence, délivrée par la FFE et prévue à l'article L. 131-6 du Code du sport, marque l'adhésion volontaire de son titulaire à l'objet social, aux statuts et règlements fédéraux.  
Elle confère à son titulaire le droit de participer au fonctionnement et aux activités de la FFE dans les conditions prévues par le règlement intérieur. Ce dernier peut instaurer différents types et catégories de licences suivant des critères objectifs de distinction correspondant à chaque type de pratique sportive."	"## 1.1 Objet et durée  
L'association dite « Fédération Française des Échecs » (FFE) a été fondée le 19 mars 1921 sous le régime de la loi du 1 er juillet 1901. Elle est membre fondateur de la Fédération Internationale des Échecs (FIDE), créée à Paris le 20 juillet 1924.  
Elle a été agréée par le ministère de la Jeunesse et des Sports le 19 janvier 2000. À ce titre, elle est reconnue établissement d'utilité publique.  
Elle bénéficie également de l'agrément jeunesse et éducation populaire.  
Elle a notamment pour objet :  
- -d'organiser, de diriger, de contrôler, de promouvoir et de favoriser l'enseignement et la pratique du jeu d'échecs sous toutes ses formes et notamment du jeu d'échecs par internet (e-chess ou e-sport échecs) et du jeu d'échecs aléatoires Fischer (échecs 960) sur l'ensemble du territoire national ;
- -d'établir les règles techniques ;
- -de procéder à la délivrance des licences ;
- -de délivrer les titres de champions et de championnes de France ;
- -de créer et de maintenir un lien entre ses membres affiliés, ses comités départementaux et ses ligues régionales.  
Elle s'interdit toute discrimination et veille au respect de la charte de déontologie du sport établie par le Comité National Olympique et Sportif Français (CNOSF). Elle édicte aussi sa propre charte d'éthique qu'elle veille à faire respecter.  
Sa durée est illimitée."
Comment annoncer les coups pour joueurs aveugles ?	"| Echiquier N°18 | C6 - D5 | E5 - F6 | E6 - F5 | A5 - B6 | B5 - A6 | D6 - C5 | A6 - B5 |
| Echiquier N°19 | D6 - B6 | A6 - D6 | A6 - C6 | C6 - F6 | E6 - C6 | A6 - F6 | B6 - F6 |
| Echiquier N°20 | E6 - A6 | B6 - C6 | B6 - G6 | D6 - E6 | F6 - B6 | B6 - E6 | C6 - E6 |
| Echiquier N°21 | F6 - G6 | G6 - E6 | F6 - D6 | G6 - A6 | G6 - D6 | C6 - G6 | D6 - G6 |
| Echiquier N°22 | B7 - G7 | A7 - F7 | B7 - F7 | A7 - D7 | B7 - D7 | A7 - G7 | A7 - E7 |
| Echiquier N°23 | C7 - A7 | E7 - B7 | D7 - G7 | C7 - B7 | E7 - A7 | D7 - E7 | B7 - D7 |
| Echiquier N°24 | F7 - D7 | G7 - C7 | E7 - C7 | G7 - E7 | G7 - F7 | F7 - C7 | G7 - F7 |
| Echiquier N°25 | F8 - E7 | D7 - C8 | B8 - A7 | F7 - E8 | C7 - D8 | A8 - B7 | D8 - C7 |"	
Quels critères pour l'échiquier des joueurs aveugles ?	"## Annexe D : Règles pour les parties avec des personnes aveugles et handicapées visuelles  
D.1 L'organisateur ou l'organisatrice, après consultation de l'arbitre, p eut adapter les règles suivantes en fonction des circonstances locales. Durant les compétitions d'échecs entre personnes voyantes et personnes handicapées visuelles (légalement aveugles) chaque joueur ou joueuse peut demander l'utilisation de deux échiquiers : la personne voyante utilisant un échiquier standard, la personne handicapée visuelle utilisant un échiquier spécial. L'échiquier spécial doit répondre aux critères suivants :  
- D.1.1. Mesurer au moins 20 cm sur 20 cm
- D.1.2. Les cases noires doivent être légèrement surélevées
- D.1.3. Chaque case doit contenir une ouverture de fixation
- D.1.4. Les critères pour les pièces sont :
- D.1.4.1. Chaque pièce doit contenir une tige s'encastrant dans l'ouverture de fixation
- D.1.4.2. Les pièces sont de modèle Staunton, les pièces noires comportant une marque spécifique."	"## Annexe D : Règles pour les parties avec des personnes aveugles et handicapées visuelles  
D.1 L'organisateur ou l'organisatrice, après consultation de l'arbitre, p eut adapter les règles suivantes en fonction des circonstances locales. Durant les compétitions d'échecs entre personnes voyantes et personnes handicapées visuelles (légalement aveugles) chaque joueur ou joueuse peut demander l'utilisation de deux échiquiers : la personne voyante utilisant un échiquier standard, la personne handicapée visuelle utilisant un échiquier spécial. L'échiquier spécial doit répondre aux critères suivants :  
- D.1.1. Mesurer au moins 20 cm sur 20 cm
- D.1.2. Les cases noires doivent être légèrement surélevées
- D.1.3. Chaque case doit contenir une ouverture de fixation
- D.1.4. Les critères pour les pièces sont :
- D.1.4.1. Chaque pièce doit contenir une tige s'encastrant dans l'ouverture de fixation
- D.1.4.2. Les pièces sont de modèle Staunton, les pièces noires comportant une marque spécifique."
Peut-on déplacer une pièce qui expose le roi à l'échec ?	"## 3.9. Mise du roi en échec :  
- 3.9.1. Le roi est dit « en échec » s'il est attaqué par une ou plusieurs pièces adverses, même si ces pièces ne peuvent pas se déplacer sur la case occupée par ce roi parce qu ' elles laisseraient ou mettraient en échec le roi de leur propre camp.
- 3.9.2. Aucune pièce ne peut être déplacée si elle expose le roi de son propre camp à un échec ou si elle le laisse en échec.
- 3.10. Coup légaux et illégaux, positions illégales :
- 3.10.1. Un coup est dit légal lorsqu ' il respecte toutes les conditions associées fixées par les articles 3.1 à 3.9.
- 3.10.2. Un coup est dit illégal quand il ne respecte pas l ' une des conditions associées fixées par les articles 3.1 à 3.9
- 3.10.3. Une position est illégale lorsqu'elle ne peut avoir été atteinte par aucune suite de coups légaux."	"## 3.9. Mise du roi en échec :  
- 3.9.1. Le roi est dit « en échec » s'il est attaqué par une ou plusieurs pièces adverses, même si ces pièces ne peuvent pas se déplacer sur la case occupée par ce roi parce qu ' elles laisseraient ou mettraient en échec le roi de leur propre camp.
- 3.9.2. Aucune pièce ne peut être déplacée si elle expose le roi de son propre camp à un échec ou si elle le laisse en échec.
- 3.10. Coup légaux et illégaux, positions illégales :
- 3.10.1. Un coup est dit légal lorsqu ' il respecte toutes les conditions associées fixées par les articles 3.1 à 3.9.
- 3.10.2. Un coup est dit illégal quand il ne respecte pas l ' une des conditions associées fixées par les articles 3.1 à 3.9
- 3.10.3. Une position est illégale lorsqu'elle ne peut avoir été atteinte par aucune suite de coups légaux."
Lors d'un tournoi, les deux joueurs se sont trompés de couleurs et ont joué 13 coups chacun. Un joueur a une dame d'avance. Quelle décision prendre en partie longue (1h+30s/coup) ?	Grille toutes rondes 15 joueurs: appariements complets Berger (variante 1).	
Quel est le montant minimal d'indemnisation journalière pour un arbitre principal lors d'un tournoi national de plus de 100 joueurs en 2025 ?	"## 1) PRINCIPES GÉNÉRAUX  
- Les principes de ce barème ont été votés par le comité directeur de la F.F.E de juin 2024.
- U n événement doit respecter le minimum d'un ou d'une arbitre titré par tranche de 100 joueurs.
- L'arbitre en chef peut négocier un nombre d'arbitres plus confortable avec l'équipe d'organisation.
- L'indemnité d'arbitrage est calculée de manière journalière, elle est comprise entre 50 € (plancher) et 100 € (plafond) par jour.
- Le montant précis est négocié avec l'organisateur suivant les règles établies dans ce chapitre du livre de l'arbitre.
- Les arbitres stagiaires n'ayant pas de titre ne perçoivent aucune indemnité, mais ont le droit aux frais d'hébergement. L'organisateur n'est pas tenu de leur verser des frais de déplacements.
- Dès lors qu'un tournoi est homologué, l'organisateur est tenu de faire appel à des arbitres fédéraux ayant au moins le titre minimal requis (voir règlements fédéraux : tournois homologués). L'indemnisation de l'arbitre est obligatoire et doit nécessairement figurer dans le budget de l'événement. Si un /une arbitre fait don d'une somme correspondant partiellement ou totalement au montant de l'indemnité due, cette opération apparaît à la fois en dépenses (ligne budgétaire « arbitrage ») et en recettes (don).
- Le paiement de l'indemnité s'effectue avant le début de la dernière ronde. Une fiche d'indemnisation, signée par l'arbitre et par l'organisateur, est établie en double exemplaire."	"## 1) PRINCIPES GÉNÉRAUX  
- Les principes de ce barème ont été votés par le comité directeur de la F.F.E de juin 2024.
- U n événement doit respecter le minimum d'un ou d'une arbitre titré par tranche de 100 joueurs.
- L'arbitre en chef peut négocier un nombre d'arbitres plus confortable avec l'équipe d'organisation.
- L'indemnité d'arbitrage est calculée de manière journalière, elle est comprise entre 50 € (plancher) et 100 € (plafond) par jour.
- Le montant précis est négocié avec l'organisateur suivant les règles établies dans ce chapitre du livre de l'arbitre.
- Les arbitres stagiaires n'ayant pas de titre ne perçoivent aucune indemnité, mais ont le droit aux frais d'hébergement. L'organisateur n'est pas tenu de leur verser des frais de déplacements.
- Dès lors qu'un tournoi est homologué, l'organisateur est tenu de faire appel à des arbitres fédéraux ayant au moins le titre minimal requis (voir règlements fédéraux : tournois homologués). L'indemnisation de l'arbitre est obligatoire et doit nécessairement figurer dans le budget de l'événement. Si un /une arbitre fait don d'une somme correspondant partiellement ou totalement au montant de l'indemnité due, cette opération apparaît à la fois en dépenses (ligne budgétaire « arbitrage ») et en recettes (don).
- Le paiement de l'indemnité s'effectue avant le début de la dernière ronde. Une fiche d'indemnisation, signée par l'arbitre et par l'organisateur, est établie en double exemplaire."
Quelles sont les cadences du Ch. France Clubs rapide ?	"## 3.3 Cadence  
- Système suisse et matchs à élimination directe : 15 minutes avec ajout de 3 secondes par coup durant toute la partie.
- Armageddon : 5 minutes pour les Blancs et 4 minutes pour les Noirs avec ajout de 3 secondes par coup à partir du 61ème coup."	"## 1.2 Déroulement de la compétition  
Le championnat se joue par équipes de clubs. Un club ne peut engager plus de 2 équipes. S'il reste de s places à pourvoir à la fin de la procédure d'inscription, une nouvelle étape d'inscription sera ouverte sans limitation d'équipes par club.  
La compétition est organisée en deux phases :  
- Première phase : en système suisse en 15 rondes,
- Phase finale : Après la dernière ronde en système suisse, les 4 premières équipes des trois catégories (A, B, C), disputent une phase à élimination directe en demi-finales et finale pour déterminer les 4 premières places de leur catégorie. Un seul match est disputé dans chacune des rencontres, la première équipe rencontrant la quatrième tandis que la deuxième est appariée à la troisième. Les équipes gagnantes jouent la finale pour le titre tandis que les perdants disputent un match de classement pour la troisième place.
- En cas de match nul lors de la phase finale, un des échiquiers du match est tiré au sort afin de disputer une partie unique en Armageddon. Les deux joueurs ayant joué sur l'échiquier concerné procèdent à un tirage au sort. Le vainqueur du tirage choisit sa couleur."
Comment vérifier une réclamation de nulle ?	"La vérification d'une réclamation de nulle se fait en présence des deux adversaires. Il vaut mieux reconstituer toute la partie sans se fier uniquement aux feuilles de parties. On peut utiliser l'ordinateur si les parties sont retransmises.  
- 9.3. La partie est nulle, sur une demande correcte du joueur/de la joueuse ayant le trait, si :
- 9.3.1. il/elle indique son coup, qui ne peut être changé, en l'écrivant sur sa feuille de partie en papier ou en le notant sur sa feuille de partie électronique et déclare à l'arbitre son intention de jouer ce coup ayant pour conséquence que les 50 derniers coups ont été joués par chacun des deux adversaires sans mouvement de pion ni aucune prise, ou
- 9.3.2. les 50 derniers coups ont été achevés par chacun des deux adversaires sans mouvement de pion ni aucune prise."	"La vérification d'une réclamation de nulle se fait en présence des deux adversaires. Il vaut mieux reconstituer toute la partie sans se fier uniquement aux feuilles de parties. On peut utiliser l'ordinateur si les parties sont retransmises.  
- 9.3. La partie est nulle, sur une demande correcte du joueur/de la joueuse ayant le trait, si :
- 9.3.1. il/elle indique son coup, qui ne peut être changé, en l'écrivant sur sa feuille de partie en papier ou en le notant sur sa feuille de partie électronique et déclare à l'arbitre son intention de jouer ce coup ayant pour conséquence que les 50 derniers coups ont été joués par chacun des deux adversaires sans mouvement de pion ni aucune prise, ou
- 9.3.2. les 50 derniers coups ont été achevés par chacun des deux adversaires sans mouvement de pion ni aucune prise."
Comment fonctionne la prise en passant aux échecs ?	"## Note de traduction : Les deux articles suivants définissent la prise en passant.  
- 3.7.3.1. Un pion occupant une case située sur la même rangée et sur une colonne adjacente à un pion adverse qui vient d ' avancer de deux cases en un seul coup depuis sa case de départ, peut prendre ce pion adverse comme si ce dernier n ' avait été avancé que d ' une seule case.
- 3.7.3.2. Cette prise n'est autorisée que sur le coup qui suit l'avance ment du pion adverse. Cette prise est appelée « prise en passant ».  
<!-- image -->  
Note de traduction : Les trois articles suivants définissent la promotion.  
<!-- image -->  
- 3.5. Lors de leurs déplacements, un fou, une tour ou une dame ne peuvent passer par-dessus des pièces qui se trouveraient sur leur chemin.
- 3.6. Un cavalier peut se déplacer sur l ' une des cases les plus proches de celle où il se trouve mais non située sur la même rangée, la même colonne ou la même diagonale.  
<!-- image -->  
- 3.7.3.3. Quand un joueur ou une joueuse au trait déplace un pion sur la rangée la plus éloignée de sa position de départ, il/elle doit remplacer ce pion -lors de ce coup- par une nouvelle dame, une nouvelle tour, un nouveau fou ou un nouveau cavalier de la même cou leur sur cette case d'arrivée que l'on nomme case de « promotion ».
- 3.7.3.4. Le choix du joueur ou de la joueuse n ' est pas restreint aux pièces capturées précédemment."	"## Note de traduction : Les deux articles suivants définissent la prise en passant.  
- 3.7.3.1. Un pion occupant une case située sur la même rangée et sur une colonne adjacente à un pion adverse qui vient d ' avancer de deux cases en un seul coup depuis sa case de départ, peut prendre ce pion adverse comme si ce dernier n ' avait été avancé que d ' une seule case.
- 3.7.3.2. Cette prise n'est autorisée que sur le coup qui suit l'avance ment du pion adverse. Cette prise est appelée « prise en passant ».  
<!-- image -->  
Note de traduction : Les trois articles suivants définissent la promotion.  
<!-- image -->  
- 3.5. Lors de leurs déplacements, un fou, une tour ou une dame ne peuvent passer par-dessus des pièces qui se trouveraient sur leur chemin.
- 3.6. Un cavalier peut se déplacer sur l ' une des cases les plus proches de celle où il se trouve mais non située sur la même rangée, la même colonne ou la même diagonale.  
<!-- image -->  
- 3.7.3.3. Quand un joueur ou une joueuse au trait déplace un pion sur la rangée la plus éloignée de sa position de départ, il/elle doit remplacer ce pion -lors de ce coup- par une nouvelle dame, une nouvelle tour, un nouveau fou ou un nouveau cavalier de la même cou leur sur cette case d'arrivée que l'on nomme case de « promotion ».
- 3.7.3.4. Le choix du joueur ou de la joueuse n ' est pas restreint aux pièces capturées précédemment."
Que signifie j'adoube et quand peut-on l'utiliser ?	"## Article 4 L ' exécution du déplacement des pièces  
- 4.1. Chaque coup doit être exécuté à l ' aide d ' une seule main.
- 4.2. Ajustement des pièces ou tout autre contact physique avec une pièce :
- 4.2.1. Seul le joueur ou la joueuse ayant le trait peut recentrer une ou plusieurs pièces sur leurs cases respectives, à la condition d'en exprimer l'intention au préalable (par exemple en disant «j' adoube» ou «I adjust»).  
L'Article 4.2.1 peut être utilisé uniquement pour corriger le placement de pièces mal placées. Si l'adversaire est absent alors il faut informer, si possible, un ou une arbitre avant que tout ajustement ait lieu. Le joueur ou la joueuse doit toujours annon cer son intention d'ajuster une pièce. S'il/elle ne le fait pas, les règles normales de la ' pièce touchée' s'appliquent (voir 4.3).  
- 4.2.2. Tout autre contact physique avec une pièce, à l'exception d'un contact clairement accidentel, doit être considéré comme intentionnel.  
Selon cette règle, si un joueur ou une joueuse n'a pas dit « j'adoube » ou quelque chose de similaire avant de toucher une pièce et que le contact n'est pas accidentel alors la pièce touchée doit être déplacée.  
Par exemple, si les Blancs ont joué 1. Fe2xg5 en soulevant le fou et en retirant le cavalier (ce coup n'est pas possible) alors le fou sur e2 doit être déplacé car il a été touché dans l'intention de le déplacer.  
<!-- image -->"	"Les échiquiers peuvent être fabriqués dans différents matériaux mais les cases doivent être contrastées : foncées (noire s ou marron) et claires (blanches ou crèmes). Il est utile qu'elles soient mates pour éviter les reflets qui perturberaient les joueurs et joueuses . La taille de l'échiquier doit correspondre aux dimensions des pièces ( voir plus de détail dans le manuel de la FIDE C02).  
Il est très important de vérifier l'orientation de l'échiquier et le positionnement des pièces avant la partie. En faisant cela, l'arbitre évite de nombreuses réclamations concernant les inversions entre le Roi et la Dame ou entre les Cavaliers et les Fous.  
Parfois, il y a désaccord entre les adversaires sur la façon de positionner les cavaliers. Chaque joueur ou joueuse devra respecter le choix de son adversaire qui pourra placer ses propres cavaliers comme il/elle le souhaite avant le début de la partie. Un joueur ou une joueuse ne peut ajuster la position des pièces en cours de partie qu'après avoir informé son adversaire qu'il/elle s'apprête à les remettre en place ( Voir. article 4 « J'adoube »)"
Quelles sont les cadences du Ch. France Clubs rapide ?	"## 8.1 Convocation et ordre du Jour  
Avant chaque fin de chaque saison, le comité directeur fixe les dates d'au moins trois réunions pour la saison suivante. Ces trois dates ne peuvent être modifiées que par décision du comité directeur prise à la majorité des 2⁄3 des voix.  
La convocation est adressée au moins quinze jours à l'avance par voie électronique ou postale. Elle indique l'ordre du jour établi par le président, les horaires et le lieu de réunion. Tout membre du comité directeur peut faire inscrire un point à l'ordre du jour avant l'ouverture de la séance, sous réserve d'approbation de la majorité de ses membres."	
Quel système de notation est reconnu par la FIDE ?	"## Annexe C : La notation algébrique  
La FIDE ne reconnaît qu'un seul système de notation pour ses propres tournois et pour ses matchs : le Système Algébrique. Elle préconise l'utilisation de cette notation uniforme dans la littérature et les périodiques échiquéens.  
Les feuilles de parties, utilisant un autre système que la notation algébrique, ne peuvent pas être utilisées comme preuve dans le cas où ces feuilles sont normalement utilisées à cet effet. L' arbitre qui constate qu'un autre système de notation que le système algébrique est utilisé doit avertir de cette obligation."	"## Annexe C : La notation algébrique  
La FIDE ne reconnaît qu'un seul système de notation pour ses propres tournois et pour ses matchs : le Système Algébrique. Elle préconise l'utilisation de cette notation uniforme dans la littérature et les périodiques échiquéens.  
Les feuilles de parties, utilisant un autre système que la notation algébrique, ne peuvent pas être utilisées comme preuve dans le cas où ces feuilles sont normalement utilisées à cet effet. L' arbitre qui constate qu'un autre système de notation que le système algébrique est utilisé doit avertir de cette obligation."
Que faire si un joueur ne peut pas utiliser la pendule ?	"## 9.6.1 Fonctions  
La commission de contrôle économique et de gestion est notamment chargée d'assurer la conformité économique et budgétaire des organes déconcentrés de la FFE : comités départementaux et ligues régionales.  
Elle propose au comité directeur toute mesure de redressement ou toute sanction appropriée en cas de défaillance dûment constatée. Également destinataire des documents à caractère financier soumis à l'examen du comité directeur et de l'assemblée générale, elle donne son avis sur leur contenu avant qu'ils ne soient présentés.  
Le reste de ses attributions est défini dans son règlement intérieur."	
